kode_baru,klasifikasi,kode_lama,nama_baru_singkat,nama_lama_singkat,kbli_2020,kbli_2017
IT003,Konsultansi Ilmiah dan Teknis,SP304,Jasa Konsultansi Ilmiah dan Teknis Permukaan Tanah dan Pembuatan Peta,Jasa Pembuatan Peta,71102,71102
IT005,Konsultansi Ilmiah dan Teknis,KL408,Jasa Konsultansi Ilmiah dan Teknis Konstruksi Sistem Kendali Lalu Lintas,Jasa Manajemen Proyek Terkait Konstruksi Pekerjaan Sistem Kendali Lalu Lintas,71102,71102
KK001,Konsultansi Konstruksi,SP007,Pondasi Konstruksi,"Pekerjaan Pondasi, Termasuk Pemancangann ya",43901,43901
KK007,Konsultansi Konstruksi,MK004,Pekerjaan,Jasa Pelaksana Konstruksi Insulasi dalam Bangunan,43302,43299
KK008,Konsultansi Konstruksi,SP014,Perkerasan Aspal,Pekerjaan Pengaspalan dengan Rangkaian Peralatan Khusus,43909,42111
KK011,Konsultansi Konstruksi,SP009,Pemasangan Rangka dan Atap/Roofcov ering,Pekerjaan Atap dan Kedap Air (waterproffing),43903,43903
KK012,Konsultansi Konstruksi,SP010,Pekerjaan Struktur Beton,Pekerjaan Beton,43909,43909
KK015,Konsultansi Konstruksi,MK004,"Pekerjaan Konstruksi Tahan Api (Tanur, Anneling, Flare, atau Incenerator)",Jasa Pelaksana Konstruksi Insulasi dalam Bangunan,43909,43299
KK016,Konsultansi Konstruksi,SP011,Pemasangan Kerangka Baja,"Pekerjaan Baja dan Pemasanganny a, Termasuk Pengelasan",43904,43904
RK001,Rekayasa,KL403,Jasa Rekayasa Konstruksi Bangunan Gedung Hunian dan Nonhunian,Jasa Manajemen Proyek Terkait Konstruksi Bangunan,71102,71101
RK001,Rekayasa,RE101,Jasa Rekayasa Konstruksi Bangunan Gedung Hunian dan Nonhunian,Jasa Nasehat dan Konsultansi Rekayasa Teknik,71102,71102
RK001,Rekayasa,RE102,Jasa Rekayasa Konstruksi Bangunan Gedung Hunian dan Nonhunian,Jasa Desain Rekayasa untuk Konstruksi Pondasi serta Struktur Bangunan,71102,71101
RK001,Rekayasa,RE107,Jasa Rekayasa Konstruksi Bangunan Gedung Hunian dan Nonhunian,Jasa Desain Rekayasa untuk Proses Industrial dan Produksi,71102,71102
RK001,Rekayasa,RE108,Jasa Rekayasa Konstruksi Bangunan Gedung Hunian dan Nonhunian,Jasa Desain Rekayasa Lainnya,71102,71102
RK001,Rekayasa,RE201,Jasa Rekayasa Konstruksi Bangunan Gedung Hunian dan Nonhunian,Jasa Pengawas Pekerjaan Konstruksi Bangunan Gedung,71102,71101
RK002,Rekayasa,KL405,Jasa Rekayasa Pekerjaan Teknik,Jasa Manajemen Proyek Terkait Konstruksi Pekerjaan Teknik Sipil Keairan,71102,71102
RK002,Rekayasa,RE101,Jasa Rekayasa Pekerjaan Teknik,Jasa Nasehat dan Konsultansi Rekayasa Teknik,71102,71102
RK002,Rekayasa,RE102,Jasa Rekayasa Pekerjaan Teknik,Jasa Desain Rekayasa untuk Konstruksi Pondasi serta Struktur Bangunan,71102,71101
RK002,Rekayasa,RE103,Jasa Rekayasa Pekerjaan Teknik,Jasa Desain Rekayasa untuk Pekerjaan Teknik Sipil Air,71102,71102
RK002,Rekayasa,RE107,Jasa Rekayasa Pekerjaan Teknik,Jasa Desain Rekayasa untuk Proses Industrial dan Produksi,71102,71102
RK002,Rekayasa,RE108,Jasa Rekayasa Pekerjaan Teknik,Jasa Desain Rekayasa Lainnya,71102,71102
RK002,Rekayasa,RE203,Jasa Rekayasa Pekerjaan Teknik,Jasa Pengawasan,71102,71102
RK003,Rekayasa,KL404,Jasa Rekayasa Pekerjaan Teknik Sipil Transportasi,Jasa Manajemen Proyek Terkait Konstruksi Pekerjaan Teknik Sipil Transportasi,71102,70202
RK003,Rekayasa,RE101,Jasa Rekayasa Pekerjaan Teknik Sipil Transportasi,Jasa Nasehat dan Konsultansi Rekayasa Teknik,71102,71102
RK003,Rekayasa,RE102,Jasa Rekayasa Pekerjaan Teknik Sipil Transportasi,Jasa Desain Rekayasa untuk Konstruksi Pondasi serta Struktur Bangunan,71102,71101
RK003,Rekayasa,RE104,Jasa Rekayasa Pekerjaan Teknik Sipil Transportasi,Jasa Desain Rekayasa untuk Pekerjaan Teknik Sipil Transportasi,71102,70202
RK003,Rekayasa,RE107,Jasa Rekayasa Pekerjaan Teknik Sipil Transportasi,Jasa Desain Rekayasa untuk Proses Industrial dan Produksi,71102,71102
RK003,Rekayasa,RE108,Jasa Rekayasa Pekerjaan Teknik Sipil Transportasi,Jasa Desain Rekayasa Lainnya,71102,71102
RK003,Rekayasa,RE202,Jasa Rekayasa Pekerjaan Teknik Sipil Transportasi,Jasa Pengawas Pekerjaan Konstruksi Sipil Sumber Daya Air,71102,70202
RK004,Rekayasa,RE101,Jasa Rekayasa Pekerjaan Mekanikal Dalam Bangunan,Jasa Nasehat dan Konsultansi Rekayasa Teknik,71102,71102
RK004,Rekayasa,RE102,Jasa Rekayasa Pekerjaan Mekanikal Dalam Bangunan,Jasa Desain Rekayasa untuk Konstruksi Pondasi serta Struktur Bangunan,71102,71101
RK004,Rekayasa,RE105,Jasa Rekayasa Pekerjaan Mekanikal Dalam Bangunan,Jasa Desain Rekayasa untuk Pekerjaan Mekanikal dan Elektrikal dalam Bangunan,71102,71102
RK004,Rekayasa,RE107,Jasa Rekayasa Pekerjaan Mekanikal Dalam Bangunan,Jasa Desain Rekayasa untuk Proses Industrial dan Produksi,71102,71102
RK004,Rekayasa,RE108,Jasa Rekayasa Pekerjaan Mekanikal Dalam Bangunan,Jasa Desain Rekayasa Lainnya,71102,71102
RK005,Rekayasa,KL401,Jasa Rekayasa Lainnya,Jasa Konsultansi Lingkungan,71102,71102
RK005,Rekayasa,KL406,Jasa Rekayasa Lainnya,Jasa Manajemen Proyek Terkait Konstruksi Pekerjaan Teknik Sipil Lainnya,71102,71102
RK005,Rekayasa,RE101,Jasa Rekayasa Lainnya,Jasa Nasehat dan Konsultansi Rekayasa Teknik,71102,71102
RK005,Rekayasa,RE102,Jasa Rekayasa Lainnya,Jasa Desain Rekayasa untuk Konstruksi Pondasi serta Struktur Bangunan,71102,71101
RK005,Rekayasa,RE107,Jasa Rekayasa Lainnya,Jasa Desain Rekayasa untuk Proses Industrial dan Produksi,71102,71102
RK005,Rekayasa,RE108,Jasa Rekayasa Lainnya,Jasa Desain Rekayasa Lainnya,71102,71102
RT001,Rekayasa Terpadu,KL402,Jasa Pelayanan Studi Investasi Infrastruktur,Jasa Konsultansi Estimasi Nilai Lahan dan Bangunan,70209,71101
RT001,Rekayasa Terpadu,KL409,Jasa Pelayanan Studi Investasi Infrastruktur,Jasa Konsultansi Rekayasa Lainnya,70209,71102
RT002,Rekayasa Terpadu,KL406,"Jasa Rekayasa Konstruksi Pembangkit, Jaringan Transmisi, Gardu Induk, dan Distribusi Tenaga Listrik",Jasa Manajemen Proyek Terkait Konstruksi Pekerjaan Teknik Sipil Lainnya,71102,71102
RT003,Rekayasa Terpadu,KL407,"Jasa Rekayasa Proses Industrial, Produksi, dan Fasilitas Produksi",Jasa Manajemen Proyek Terkait Konstruksi Pekerjaan Teknik Sipil Lainnya,71102,71102
RT003,Rekayasa Terpadu,RE106,"Jasa Rekayasa Proses Industrial, Produksi, dan Fasilitas Produksi",Jasa Desain Rekayasa untuk Proses Industrial dan Produksi,71102,71102
RT003,Rekayasa Terpadu,RE204,"Jasa Rekayasa Proses Industrial, Produksi, dan Fasilitas Produksi",Jasa Pengawas Pekerjaan Konstruksi Sipil Transportasi,71102,71102
BG001,Sipil,BG001,41011,Jasa Pelaksana Konstruksi Bangunan Hunian Tunggal dan Kopel,41011,41011
BG001,Sipil,BG002,41011,Jasa Pelaksana Konstruksi Bangunan Multi atau Banyak Hunian,41011,41011
BG002,Sipil,BG004,41011,Jasa Pelaksana Konstruksi Bangunan Komersial,41012,41012
BG003,Sipil,BG003,41013,Jasa Pelaksana Konstruksi Bangunan Gudang dan Industri,41013,41013
BG004,Sipil,BG004,41012,Jasa Pelaksana Konstruksi Bangunan Komersial,41014,41012
BG005,Sipil,BG008,41018,Jasa Pelaksana Konstruksi Bangunan Kesehatan,41015,41015
BG006,Sipil,BG007,41017,Jasa Pelaksana Konstruksi Bangunan Pendidikan,41016,41016
BG007,Sipil,BG006,41016,"Jasa Pelaksana Konstruksi Bangunan Hotel, Restoran, dan Bangunan Serupa Lainnya",41017,41017
BG008,Sipil,BG005,41015,Jasa Pelaksana Konstruksi bangunan hiburan publik,41018,41018
BG009,Sipil,BG004,41019,Jasa Pelaksana Konstruksi Bangunan Komersial,41019,41012
BG009,Sipil,BG009,41019,Jasa Pelaksana Konstruksi Bangunan Gedung Lainnya,41019,41019
BS001,Sipil,SI003,Konstruksi Bangunan Sipil Jalan.,"Jasa Pelaksana Konstruksi Jalan Raya (kecuali Jalan Layang), Jalan, Rel Kereta Api,",42101,42111
BS002,Sipil,SI004,"Bangunan Sipil Jembatan, Jalan Layang, Fly Over, dan Underpass","Jasa Pelaksana Konstruksi Jembatan, Jalan Layang, Terowongan, dan Subways",42102,42112
BS003,Sipil,SI003,Konstruksi Jalan rel,"Jasa Pelaksana Konstruksi Jalan Raya (kecuali Jalan Layang), Jalan, Rel Kereta Api,",42103,42111
